    80/299     7.42G   0.02491   0.01738  0.002691   0.04498        30       640    0.9763    0.9815    0.9832    0.7661   0.03705   0.06055   0.01213
    81/299     7.42G   0.02288   0.01594  0.002493   0.04131       111       640    0.9792    0.9831    0.9843    0.7744    0.0363    0.0589   0.01172
    82/299     7.42G   0.02436   0.01762  0.002565   0.04454        64       640    0.9788    0.9806    0.9854    0.7739   0.03891   0.05952   0.01173
    83/299     7.42G   0.02416   0.01669  0.002612   0.04346        85       640    0.9749    0.9777    0.9845     0.746   0.03887   0.05925   0.01165
    84/299     7.42G   0.02326   0.01695  0.002625   0.04283        55       640    0.9744    0.9796    0.9828    0.7702   0.03792   0.05861    0.0114
    85/299     7.42G    0.0231   0.01633  0.002092   0.04152        85       640    0.9764    0.9813    0.9847    0.7667   0.03735   0.06032   0.01135
    86/299     7.42G   0.02245   0.01701  0.002653   0.04211        24       640    0.9773    0.9812    0.9846    0.7703   0.03749   0.05923   0.01117
    87/299     7.42G   0.02217   0.01639  0.002364   0.04093        83       640    0.9772    0.9827    0.9842    0.7715   0.03959   0.05849   0.01144
    88/299     7.42G   0.02309   0.01739  0.002394   0.04288        81       640    0.9773    0.9815    0.9844    0.7713   0.03707   0.05941    0.0116
    89/299     7.42G   0.02344   0.01681  0.002339    0.0426        32       640    0.9811    0.9788    0.9853    0.7702   0.03866   0.05891   0.01102
    90/299     7.42G   0.02302    0.0167  0.002927   0.04264        20       640    0.9766     0.982    0.9846    0.7804   0.03758   0.05808   0.01084
    91/299     7.42G   0.02321    0.0181  0.002687   0.04399        56       640    0.9775    0.9828    0.9854    0.7835   0.03715   0.05829   0.01117
    92/299     7.42G   0.02243   0.01699  0.002256   0.04167        26       640    0.9789    0.9818    0.9873    0.7746    0.0395   0.05605   0.01108
    93/299     7.42G   0.02343   0.01601  0.002192   0.04163        71       640    0.9774    0.9818     0.986    0.7801    0.0363   0.05987   0.01127
    94/299     7.42G    0.0225   0.01754  0.002436   0.04247        59       640    0.9798    0.9807    0.9862    0.7817   0.03677   0.05845   0.01105
    95/299     7.42G   0.02072   0.01575  0.002552   0.03901        29       640    0.9799    0.9788    0.9868    0.7915   0.03594   0.05766   0.01076
    96/299     7.42G   0.02324   0.01633  0.002341   0.04191        34       640    0.9733     0.976    0.9819    0.7837   0.03645   0.05756   0.01078
    97/299     7.42G   0.02235   0.01639  0.002588   0.04132        23       640    0.9697     0.978     0.983    0.7833   0.03689   0.05864   0.01115
    98/299     7.42G   0.02196   0.01655  0.002497     0.041       102       640    0.9791     0.982    0.9841    0.7867   0.03666   0.05886    0.0112
    99/299     7.42G   0.02239   0.01653  0.002872   0.04178       110       640    0.9761    0.9819    0.9825    0.7695   0.03754   0.05802   0.01134
   100/299     7.42G   0.02216   0.01651  0.002087   0.04077        88       640    0.9773    0.9821    0.9826    0.7792   0.03743   0.05832   0.01064
   101/299     7.42G   0.02215   0.01787  0.002324   0.04234        36       640    0.9804    0.9801    0.9863    0.7809    0.0376   0.05906    0.0103
   102/299     7.42G   0.02173   0.01581  0.002138   0.03967       128       640    0.9734    0.9792    0.9877    0.7899   0.03703   0.05844   0.01033
   103/299     7.42G   0.02163   0.01628  0.002844   0.04075        80       640    0.9729     0.979    0.9865    0.7919   0.03774   0.05908   0.01103
   104/299     7.42G     0.022   0.01502  0.002171   0.03919        23       640    0.9806    0.9782    0.9864    0.7806   0.03889   0.06008    0.0112
   105/299     7.42G   0.02189   0.01634  0.002408   0.04064       137       640    0.9772    0.9783    0.9869    0.7897   0.03864   0.05809   0.01056
   106/299     7.42G   0.02169   0.01728  0.001939    0.0409        58       640    0.9749     0.981    0.9861    0.7895    0.0371   0.05825   0.01039
